"sha","date","subj"
"ba4c3698e696","2026/2/26 2:54:21","zram: rename writeback_compressed device attr"
"bf4afc53b77a","2026/2/22 0:37:42","Convert 'alloc_obj' family to use the new default GFP_KERNEL argument"
"69050f8d6d07","2026/2/21 7:49:23","treewide: Replace kmalloc with kmalloc_obj for non-scalar types"
"6efc548d8a08","2026/1/15 8:08:07","zram: rename init_lock to dev_lock"
"0be909f114c4","2026/1/7 5:21:44","zsmalloc: use actual object size to detect spans"
"a9853ac1c3bc","2025/11/26 14:36:02","zram: remove KMSG_COMPONENT macro"
"657a81fe3b41","2025/12/16 7:13:42","zram: drop pp_in_progress"
"8b05d2d8af81","2026/1/15 3:30:06","zram: fixup read_block_state()"
"4932844eb870","2025/12/15 5:47:13","zram: trivial fix of recompress_slot() coding styles"
"bde60fe74721","2025/12/15 5:47:12","zram: rename internal slot API"
"2e8ff2f51dde","2025/12/15 5:47:11","zram: use u32 for entry ac_time tracking"
"0327a862135b","2025/12/1 9:47:54","zram: consolidate device-attr declarations"
"0d38260c2a11","2025/12/1 9:47:53","zram: switch to guard() for init_lock"
"7ad688c0cdc4","2025/12/1 9:47:52","zram: rename zram_free_page()"
"910bbb441c00","2025/12/1 9:47:51","zram: move bd_stat to writeback section"
"4c1d61389e8e","2025/12/1 9:47:49","zram: introduce writeback_compressed device attribute"
"d38fab605c66","2025/12/1 9:47:48","zram: introduce compressed data writeback"
"8f4338b1141e","2025/11/25 2:05:22","zram: fix a spelling mistake"
"04d31610a722","2025/11/19 4:13:45","zram: fix the issue that the write - back limits might overflow"
"1b1a4e4d6797","2025/11/22 7:40:29","zram: read slot block idx under slot lock"
"e87ddea34567","2025/11/22 7:40:28","zram: rework bdev block allocation"
"a4f506c569e1","2025/11/22 7:40:27","zram: drop wb_limit_lock"
"7c929664fddf","2025/11/22 7:40:26","zram: take write lock in wb limit store handlers"
"e828cccb72ed","2025/11/22 7:40:25","zram: add writeback batch size device attr"
"f405066a1f0d","2025/11/22 7:40:24","zram: introduce writeback bio batching"
"8804d970fab4","2025/10/3 1:18:33","Merge tag 'mm-stable-2025-10-01-19-00' of git://git.kernel.org/pub/scm/linux/kernel/git/akpm/mm"
"e1b1d03ceec3","2025/10/2 17:16:56","Merge tag 'for-6.18/block-20250929' of git://git.kernel.org/pub/scm/linux/kernel/git/axboe/linux"
"bc9950b56f16","2025/9/21 21:19:36","Merge branch 'mm-hotfixes-stable' into mm-stable in order to pick up"
"ce4be9e4307c","2025/9/9 4:48:35","zram: fix slot write race condition"
"7cbce1eaeb78","2025/8/5 10:19:29","zram: protect recomp_algorithm_show() with ->init_lock"
"456cefcb312d","2025/9/5 8:51:40","drivers/block: replace use of system_unbound_wq with system_dfl_wq"
"e74a1c6a8e8a","2025/6/27 7:18:21","zram: pass buffer offset to zcomp_available_show()"
"264a3fdab236","2025/6/27 3:52:56","block: zram: replace scnprintf() with sysfs_emit() in *_show() functions"
"dc75a0d93bd5","2025/5/14 2:47:51","zram: support deflate-specific params"
"a5ade2e9fa6a","2025/5/14 2:47:50","zram: rename ZCOMP_PARAM_NO_LEVEL"
"cf42d4cccf0d","2025/3/27 1:58:09","zram: modernize writeback interface"
"56e5a103a721","2025/4/2 20:44:16","zsmalloc: prefer the the original page's node for compressed data"
"a6d2193b3ef5","2025/3/3 2:03:27","zram: do not leak page on writeback_store error path"
"5b683d4e987d","2025/3/3 2:03:26","zram: do not leak page on recompress_store error path"
"82f91900c722","2025/3/3 2:03:24","zram: switch to new zsmalloc object mapping API"
"7e1b0212d4d5","2025/3/3 2:03:20","zram: move post-processing target allocation"
"b0624f0b2234","2025/3/3 2:03:19","zram: rework recompression loop"
"9724bef96df4","2025/3/3 2:03:18","zram: filter out recomp targets based on priority"
"d7fdc5a620ae","2025/3/3 2:03:17","zram: limit max recompress prio to num_active_comps"
"f3b0c6c8996a","2025/3/3 2:03:16","zram: remove writestall zram_stats member"
"9c7ccc8d99ad","2025/3/3 2:03:15","zram: add GFP_NOWARN to incompressible zsmalloc handle allocation"
"80af56cb2933","2025/3/3 2:03:14","zram: remove second stage of handle allocation"
"4127e13c9302","2025/3/3 2:03:13","zram: remove max_comp_streams device attr"
"be656187b8a9","2025/3/3 2:03:12","zram: remove unused crypto include"
"2efa9e9eb4db","2025/3/3 2:03:11","zram: permit preemption with active compression stream"
"bd175a1d84e3","2025/3/3 2:03:10","zram: sleepable entry locking"
"81f804c3df86","2025/1/15 7:19:16","zram: remove zcomp_stream_put() from write_incompressible_page()"
"424d0e5828ad","2024/12/18 6:34:24","zram: cond_resched() in writeback loop"
"b8d3ff7bb511","2024/12/18 6:34:23","zram: use zram_read_from_zspool() in writeback"
"e355b253adbc","2024/12/18 6:34:22","zram: factor out different page types read"
"ef932cd23b78","2024/12/18 6:34:21","zram: factor out ZRAM_HUGE write"
"a5cd78accfd3","2024/12/18 6:34:20","zram: factor out ZRAM_SAME write"
"b4444a849f18","2024/12/18 6:34:19","zram: remove entry element member"
"71268035f5d7","2024/12/18 6:34:18","zram: free slot memory early during write"
"212fe1c0df4a","2025/1/7 6:54:46","zram: fix potential UAF of zram table"
"74363ec674cb","2024/12/9 16:57:16","zram: fix uninitialized ZRAM not releasing backing device"
"be48c412f6eb","2024/12/9 16:57:15","zram: refuse to use zero sized block device as backing device"
"f364cdeb3893","2024/11/8 10:01:47","zram: fix NULL pointer in comp_algorithm_show()"
"d37da422edb0","2024/10/28 15:36:15","zram: clear IDLE flag in mark_idle()"
"f85219096648","2024/10/28 15:36:14","zram: clear IDLE flag after recompression"
"01a9097aa3ce","2024/10/9 4:28:00","zram: do not open-code comp priority 0"
"5e99893444a0","2024/9/17 2:09:12","zram: remove UNDER_WB and simplify writeback"
"1a1d0f8992d5","2024/9/17 2:09:11","zram: reshuffle zram_free_page() flags operations"
"b967fa1ba72b","2024/9/17 2:09:10","zram: do not mark idle slots that cannot be idle"
"330edc2bc059","2024/9/17 2:09:09","zram: rework writeback target selection strategy"
"3f909a60cec1","2024/9/17 2:09:08","zram: rework recompress target selection strategy"
"58652f2b6d21","2024/9/17 2:09:07","zram: permit only one post-processing operation at a time"
"bf779fb9afb5","2024/9/17 2:09:06","zram: introduce ZRAM_PP_SLOT flag"
"486fd58af7ac","2024/9/23 16:48:43","zram: don't free statically defined names"
"617a814f14b8","2024/9/21 14:29:05","Merge tag 'mm-stable-2024-09-20-02-31' of git://git.kernel.org/pub/scm/linux/kernel/git/akpm/mm"
"684826f8271a","2024/9/11 2:54:56","zram: free secondary algorithms names"
"e899007a5e10","2024/9/2 10:56:12","zram: support priority parameter in recompression"
"dea77d7aea98","2024/9/2 10:56:04","zram: add support for dict comp config"
"4eac932103a5","2024/9/2 10:56:03","zram: introduce algorithm_params device attribute"
"f2bac7ad187d","2024/9/2 10:56:01","zram: introduce zcomp_params structure"
"917a59e81c34","2024/9/2 10:55:52","zram: introduce custom comp backends API"
"68d20eb60efb","2024/9/6 14:14:45","zram: Shrink zram_table_entry::flags."
"6086aeb49e3d","2024/9/6 14:14:44","zram: Remove ZRAM_LOCK"
"9518e5bfaae1","2024/9/6 14:14:43","zram: Replace bit spinlocks with a spinlock_t."
"aadd5c59c910","2024/6/17 6:04:45","block: move the synchronous flag to queue_limits"
"1a02f3a73f8c","2024/6/17 6:04:44","block: move the stable_writes flag to queue_limits"
"bd4a633b6f7c","2024/6/17 6:04:41","block: move the nonrot flag to queue_limits"
"5ad8b6ad9a08","2024/5/21 15:34:51","Merge tag 'pull-set_blocksize' of git://git.kernel.org/pub/scm/linux/kernel/git/viro/vfs"
"ebb0173df201","2024/4/28 22:55:47","zram: don't bother with reopening - just use O_EXCL for open"
"34efe1c3b688","2024/3/29 9:39:41","zram: add max_pages param to recompression"
"902861e34c40","2024/3/15 0:43:30","Merge tag 'mm-stable-2024-03-13-20-04' of git://git.kernel.org/pub/scm/linux/kernel/git/akpm/mm"
"1ddeeb2a058d","2024/3/11 18:43:44","Merge tag 'for-6.9/block-20240310' of git://git.kernel.dk/linux"
"be914f8fd282","2024/1/23 13:26:29","zram: port block device access to file"
"80ba4caf8ba9","2023/10/7 7:05:53","zram: use copy_page for full page copy"
"4190b3f291d9","2024/2/15 7:10:51","zram: pass queue_limits to blk_mq_alloc_disk"
"74fa8f9c553f","2024/2/15 7:10:47","block: pass a queue_limits argument to blk_alloc_disk"
"01d550f0fcc0","2024/1/11 21:58:04","Merge tag 'for-6.8/block-2024-01-08' of git://git.kernel.dk/linux"
"3753039def5d","2023/12/28 7:55:43","zram: use the default discard granularity"
"73829b713470","2023/11/28 8:22:07","zram: use kmap_local_page()"
"a7a0350583ba","2023/11/15 2:42:12","zram: split memory-tracking and ac-time tracking"
"eed993a09103","2023/9/27 9:34:14","zram: Convert to use bdev_open_by_dev()"
"95848dcb9d67","2023/8/5 5:55:37","zram: take device and not only bvec offset into account"
"6e17c6de3ddf","2023/6/28 17:28:11","Merge tag 'mm-stable-2023-06-24-19-15' of git://git.kernel.org/pub/scm/linux/kernel/git/akpm/mm"
"cb0551adf92d","2023/6/14 14:13:12","zram: further limit recompression threshold"
"05bdb9965305","2023/6/8 11:02:55","block: replace fmode_t with a block-specific type for block open flags"
"2736e8eeb0cc","2023/6/8 11:02:43","block: use the holder as indication for exclusive opens"
"d32e2bf83791","2023/6/8 11:02:36","block: pass a gendisk to ->open"
"0718afd47f70","2023/6/1 9:44:52","block: introduce holder ops"
"34848c910b91","2023/5/31 11:50:34","zram: use __bio_add_page for adding single page to bio"
"a3b111b046f6","2023/5/6 15:28:58","Merge tag 'for-6.4/block-2023-05-06' of git://git.kernel.dk/linux"
"7fa8a8ee9400","2023/4/28 2:42:02","Merge tag 'mm-stable-2023-04-27-15-30' of git://git.kernel.org/pub/scm/linux/kernel/git/akpm/mm"
"3f89ac587baa","2023/4/24 23:46:28","block/drivers: remove dead clear of random flag"
"1e9460d132cc","2023/4/11 17:14:59","zram: return errors from read_from_bdev_sync"
"4e3c87b9421d","2023/4/11 17:14:58","zram: fix synchronous reads"
"0cd97a0372f2","2023/4/11 17:14:57","zram: don't return errors from read_from_bdev_async"
"fd45af53e220","2023/4/11 17:14:56","zram: pass a page to read_from_bdev"
"a0b81ae7a4ff","2023/4/11 17:14:55","zram: refactor zram_bdev_write"
"6aa4b839e7a4","2023/4/11 17:14:54","zram: don't pass a bvec to __zram_bvec_write"
"889ae9169b45","2023/4/11 17:14:53","zram: refactor zram_bdev_read"
"79c744eeaa8e","2023/4/11 17:14:52","zram: directly call zram_read_page in writeback_store"
"ffb0a9e66562","2023/4/11 17:14:51","zram: rename __zram_bvec_read to zram_read_page"
"f575a5add8a9","2023/4/11 17:14:50","zram: don't use highmem for the bounce buffer in zram_bvec_{read,write}"
"82ca875d2549","2023/4/11 17:14:49","zram: refactor highlevel read and write handling"
"57de7bd830da","2023/4/11 17:14:48","zram: return early on error in zram_bvec_rw"
"d6eea0097e26","2023/4/11 17:14:47","zram: move discard handling to zram_submit_bio"
"af8b04c63708","2023/4/11 17:14:46","zram: simplify bvec iteration in __zram_make_request"
"0120dd6e4e20","2023/4/11 17:14:45","zram: make zram_bio_discard more self-contained"
"9fe95babc742","2023/4/11 17:14:44","zram: remove valid_io_request"
"a70aae12502b","2023/4/11 17:14:43","zram: always compile read_from_bdev_sync"
"ca9d081b49cc","2023/4/18 13:47:15","zram: fix up permission for the hot_add sysfs file"
"75a2d4226b53","2023/3/25 8:45:37","driver core: class: mark the struct class for sysfs callbacks as constant"
"10a03c36b7dd","2023/3/13 18:18:33","drivers: remove struct module * setting from struct class"
"3822a7c40997","2023/2/24 1:09:35","Merge tag 'mm-stable-2023-02-20-13-37' of git://git.kernel.org/pub/scm/linux/kernel/git/akpm/mm"
"13ae4db0c051","2023/2/3 15:06:21","zram: use bvec_set_page to initialize bvecs"
"3222d8c2a7f8","2023/1/25 13:34:36","block: remove ->rw_page"
"df32de143341","2023/1/3 3:01:19","zram: correctly handle all next_arg() cases"
"071acb3084c5","2022/12/23 4:03:31","zram: fix typos in comments"
"47939359add5","2022/11/17 14:13:26","zram: remove unused stats fields"
"77db7bb56bd7","2022/11/9 11:50:47","zram: add incompressible flag to read_block_state()"
"b46f9ea3cb35","2022/11/9 11:50:46","zram: add incompressible writeback"
"a55cf9648d3d","2022/11/9 11:50:44","zram: add algo parameter support to zram_recompress()"
"4942cf6ad07c","2022/11/9 11:50:43","zram: remove redundant checks from zram_recompress()"
"7c2af309abd2","2022/11/9 11:50:42","zram: add size class equals check into recompression"
"f24ee92cbe13","2022/11/9 11:50:41","zram: use IS_ERR_VALUE() to check for zs_malloc() errors"
"9fda785dbd14","2022/11/9 11:50:40","zram: clarify writeback_store() comment"
"60e9b39ebec5","2022/11/9 11:50:39","zram: add recompress flag to read_block_state()"
"84b33bf78889","2022/11/9 11:50:38","zram: introduce recompress sysfs knob"
"5561347aa598","2022/11/9 11:50:37","zram: factor out WB and non-WB zram read functions"
"001d92735701","2022/11/9 11:50:36","zram: add recompression algorithm sysfs knob"
"7ac07a26dea7","2022/11/9 11:50:35","zram: preparation for multi-zcomp support"
"70ec04f34861","2022/10/18 14:51:54","zram: use try_cmpxchg in update_used_max"
"5e714bf1713b","2022/10/14 19:28:43","Merge tag 'mm-stable-2022-10-13' of git://git.kernel.org/pub/scm/linux/kernel/git/akpm/mm"
"94541bc3fbde","2022/10/3 14:48:32","zram: always expose rw_page"
"27bc50fc9064","2022/10/11 0:53:04","Merge tag 'mm-stable-2022-10-08' of git://git.kernel.org/pub/scm/linux/kernel/git/akpm/mm"
"513389809e13","2022/10/7 16:19:14","Merge tag 'for-6.1/block-2022-10-03' of git://git.kernel.dk/linux"
"f9bceb2f4114","2022/9/14 5:20:33","zram: keep comments within 80-columns limit"
"f635725c3905","2022/9/12 15:27:44","zram: do not waste zram_table_entry flags bits"
"e55e1b483156","2022/8/18 20:59:57","block: move from strlcpy with unused retval to strscpy"
"641608f36244","2022/8/24 11:31:17","zram: don't retry compress incompressible page"
"6d2453c3dbc5","2022/8/24 3:51:00","drivers/block/zram/zram_drv.c: do not keep dangling zcomp pointer after zram reset"
"37887783b3fe","2022/8/10 7:06:09","Revert ""zram: remove double compression logic"""
"6614a3c3164a","2022/8/5 23:32:45","Merge tag 'mm-stable-2022-08-03' of git://git.kernel.org/pub/scm/linux/kernel/git/akpm/mm"
"c7e6f17b52e9","2022/7/14 8:07:57","zsmalloc: zs_malloc: return ERR_PTR on failure"
"13c1c74af764","2022/6/8 7:25:34","zram: fix unused 'zram_wb_devops' warning"
"bc0421ea44b8","2022/7/14 18:06:44","block/zram: Use enum req_op where appropriate"
"86947df3a923","2022/7/14 18:06:29","block: Change the type of the last .rw_page() argument"
"8b9ab6266204","2022/6/19 6:05:52","block: remove blk_cleanup_disk"
"98931dd95fd4","2022/5/26 19:32:41","Merge tag 'mm-stable-2022-05-25' of git://git.kernel.org/pub/scm/linux/kernel/git/akpm/mm"
"5dc921868c50","2022/5/23 21:04:14","Merge tag 'for-5.19/drivers-2022-05-22' of git://git.kernel.dk/linux-block"
"e7be8d1dd983","2022/5/13 3:23:07","zram: remove double compression logic"
"30226b69f876","2022/4/29 21:36:59","zram: add a huge_idle writeback mode"
"dbdc1be32591","2022/3/30 5:29:06","block: add a disk_openers helper"
"7a86d6dc1493","2022/3/30 5:29:05","zram: cleanup zram_remove"
"d666e20e2e79","2022/3/30 5:29:04","zram: cleanup reset_store"
"5f0614a55ece","2022/4/18 2:27:13","block: change exported IO accounting interface from gendisk to bdev"
"70200574cc22","2022/4/15 4:52:55","block: remove QUEUE_FLAG_DISCARD"
"bd3d3203eb84","2022/3/3 11:18:59","zram: use memcpy_from_bvec in zram_bvec_write"
"b3bd0a8a74ab","2022/3/3 11:18:58","zram: use memcpy_to_bvec in zram_bvec_read"
"49add4966d79","2022/1/24 9:11:06","block: pass a block_device and opf to bio_init"
"07888c665b40","2022/1/24 9:11:05","block: pass a block_device and opf to bio_alloc"
"322cbb50de71","2022/1/24 9:39:13","block: remove genhd.h"
"f56caedaf94f","2022/1/15 18:37:06","Merge branch 'akpm' (patches from Andrew)"
"7f0d267243aa","2022/1/14 22:09:22","zram: use ATTRIBUTE_GROUPS"
"1ebe2e5f9d68","2021/11/22 13:06:22","block: remove GENHD_FL_EXT_DEVT"
"d422f4016308","2021/11/26 16:57:32","zram: only make zram_wb_devops for CONFIG_ZRAM_WRITEBACK"
"cb690f5238d7","2021/11/9 19:24:08","Merge tag 'for-5.16/drivers-2021-11-09' of git://git.kernel.dk/linux-block"
"512b7931ad05","2021/11/6 21:08:17","Merge branch 'akpm' (patches from Andrew)"
"755804d16965","2021/11/5 20:45:15","zram: introduce an aged idle interface"
"a88e03cf3d19","2021/11/5 20:45:12","zram: off by one in read_block_state()"
"4aabdc14c4d2","2021/11/5 20:45:09","zram_drv: allow reclaim on bio_alloc"
"00c5495c54f7","2021/10/25 2:54:26","zram: replace fsync_bdev with sync_blockdev"
"5a4b653655d5","2021/10/25 2:54:25","zram: avoid race between zram_remove and disksize_store"
"8c54499a59b0","2021/10/25 2:54:24","zram: don't fail to remove zram during unloading module"
"6f1637795f28","2021/10/25 2:54:23","zram: fix race between zram_reset_device() and disksize_store()"
"5e2e1cc4131c","2021/10/15 23:52:14","zram: add error handling support for add_disk()"
"3e08773c3841","2021/10/12 11:12:24","block: switch polling to be bio based"
"a8698707a183","2021/5/25 6:12:56","block: move bd_mutex to struct gendisk"
"7681750bd35f","2021/5/21 5:51:00","zram: convert to blk_alloc_disk/blk_cleanup_disk"
"2766f1821600","2021/3/13 5:08:41","zram: fix broken page writeback"
"57e0076e6575","2021/3/13 5:08:38","zram: fix return value on writeback_store"
"239592815805","2021/2/26 1:18:31","zsmalloc: account the number of compacted pages correctly"
"294ed6b9f006","2021/1/25 8:13:01","zram: fix NULL check before some freeing functions is not needed"
"309dca309fc3","2021/1/24 10:02:34","block: store a block_device pointer in struct bio"
"ac7ac4618cf2","2020/12/16 20:57:51","Merge tag 'for-5.11/block-2020-12-14' of git://git.kernel.dk/linux-block"
"3d711a382735","2020/12/15 3:14:35","zram: break the strict dependency from lzo"
"194e28da1a02","2020/12/15 3:14:32","zram: add stat to gather incompressible pages since zram set up"
"0d8359620d9b","2020/12/15 3:14:28","zram: support page writeback"
"977115c0f664","2020/11/26 9:41:07","block: stop using bdget_disk for partition 0"
"8446fe9255be","2020/11/24 8:36:54","block: switch partition lookup to use struct block_device"
"cb8432d650fe","2020/11/26 17:47:17","block: allocate struct hd_struct as part of struct bdev_inode"
"ee763e2143e7","2020/11/16 14:43:46","zram: do not call set_blocksize"
"6e017a3931d7","2020/11/16 14:57:09","zram: use set_capacity_and_notify"
"d76913908102","2020/10/24 19:46:42","Merge tag 'block-5.10-2020-10-24' of git://git.kernel.dk/linux-block"
"0669d2b265d0","2020/10/19 10:13:53","zram: Fix __zram_bvec_{read,write}() locking order"
"4e79603bbd33","2020/10/16 3:09:43","zram: failing to decompress is WARN_ON worthy"
"1cb039f3dc16","2020/9/24 6:51:38","bdi: replace BDI_CAP_STABLE_WRITES with a queue and a sb flag"
"a8b456d01cd6","2020/9/24 6:51:36","bdi: remove BDI_CAP_SYNCHRONOUS_IO"
"0fc66c9d6314","2020/9/21 7:19:50","zram: cleanup backing_dev_store"
"659e56ba864d","2020/9/1 15:57:43","block: add a new revalidate_disk_size helper"
"382625d0d432","2020/8/3 18:57:03","Merge tag 'for-5.9/block-20200802' of git://git.kernel.dk/linux-block"
"853eab68afc8","2020/6/17 11:49:47","Revert ""zram: convert remaining CLASS_ATTR() to CLASS_ATTR_RO()"""
"c62b37d96b6e","2020/7/1 8:59:43","block: move ->make_request_fn to struct block_device_operations"
"39ad70b56866","2020/7/1 8:59:35","zram: stop using ->queuedata"
"d7614e4480fa","2020/5/27 5:24:11","zram: nvdimm: use bio_{start,end}_io_acct and disk_{start,end}_io_acct"
"3d745ea5b095","2020/3/27 8:30:11","block: simplify queue allocation"
"c6a564ffadc9","2020/3/25 15:48:42","block: move the part_stat* helpers from genhd.h to a new header"
"3b82a051c101","2020/1/31 6:15:25","drivers/block/zram/zram_drv.c: fix error return codes not being returned in writeback_store"
"90f82cbfe502","2020/1/31 6:15:22","zram: try to avoid worst-case scenario on same element pages"
"f7daefe4231e","2019/10/19 3:20:14","zram: fix race between backing_dev_show and backing_dev_store"
"e153abc0739f","2019/4/26 5:23:41","zram: pass down the bvec we need to read into in the work struct"
"0bc9f5d14a93","2019/3/29 3:44:24","drivers/block/zram/zram_drv.c: fix idle/writeback string compare"
"ce82f19fd580","2019/3/13 18:44:26","zram: default to lzo-rle instead of lzo"
"1d69a3f8ae77","2019/1/8 23:22:53","zram: idle writeback fixes and cleanup"
"bb416d18b850","2018/12/28 8:36:54","zram: writeback throttle"
"23eddf39b2c2","2018/12/28 8:36:51","zram: add bd_stat statistics"
"a939888ec38b","2018/12/28 8:36:47","zram: support idle/huge page writeback"
"e82592c4fd7e","2018/12/28 8:36:44","zram: introduce ZRAM_IDLE flag"
"7e5292831b34","2018/12/28 8:36:40","zram: refactor flags and writeback stuff"
"5547932dc67a","2018/12/28 8:36:37","zram: fix double free backing device"
"3c9959e02547","2018/12/28 8:36:33","zram: fix lockdep warning of free block handling"
"98af4d4df889","2018/9/28 6:17:22","zram: register default groups with device_add_disk()"
"c8bd134a4bdd","2018/8/22 4:54:02","drivers/block/zram/zram_drv.c: fix bug storing backing_dev"
"73ba2fb33c49","2018/8/14 17:23:25","Merge tag 'for-4.19/block-20180812' of git://git.kernel.dk/linux-block"
"4f7a7beaee77","2018/8/11 0:23:10","zram: remove BD_CAP_SYNCHRONOUS_IO with writeback feature"
"ddcf35d39797","2018/7/18 11:47:39","block: Add and use op_stat_group() for indexing disk_stat fields."
"3f289dcb4b26","2018/7/18 11:47:36","block: make bdev_ops->rw_page() take a REQ_OP instead of bool"
"fad953ce0b22","2018/6/12 21:27:37","treewide: Use array_size() in vzalloc()"
"c0265342bff4","2018/6/8 0:05:49","zram: introduce zram memory tracking"
"d7eac6b6e183","2018/6/8 0:05:45","zram: record accessed second"
"89e85bce4b02","2018/6/8 0:05:42","zram: mark incompressible page as ZRAM_HUGE"
"c4d6c4cc7bfd","2018/6/8 0:05:39","zram: correct flag name of ZRAM_ACCESS"
"3b54765cca23","2018/4/6 21:19:26","Merge branch 'akpm' (patches from Andrew)"
"60f5921a9a4f","2018/4/5 23:24:47","zram: drop max_zpage_size and use zs_huge_class_size()"
"8b904b5b6b58","2018/3/8 1:10:10","block: Use blk_queue_flag_*() in drivers instead of queue_flag_*()"
"392db38058eb","2018/2/28 18:15:30","zram: Delete gendisk before cleaning up the request queue"
"263663cd3c4f","2017/12/18 12:22:04","block: convert to bio_first_bvec_all & bio_first_page_all"
"384bc41fc064","2017/11/16 1:37:08","drivers/block/zram/zram_drv.c: make zram_page_end_io() static"
"23c47d2ada9f","2017/11/16 1:33:00","bdi: introduce BDI_CAP_SYNCHRONOUS_IO"
"e447a0151f7c","2017/11/16 1:32:56","zram: set BDI_CAP_STABLE_WRITES once"
"ae94264ed4b0","2017/10/3 23:15:19","zram: fix null dereference of handle"
"48ad1abef402","2017/9/8 23:14:07","drivers/block/zram/zram_drv.c: convert to using memset_l"
"a0725ab0c753","2017/9/7 18:59:42","Merge branch 'for-4.14/block' of git://git.kernel.dk/linux-block"
"98cc093cba1e","2017/9/6 23:22:27","block, THP: make block_device_operations.rw_page support THP"
"8e654f8fbff5","2017/9/6 23:20:07","zram: read page from backing device"
"db8ffbd4e763","2017/9/6 23:20:03","zram: write incompressible pages to backing device"
"ae85a8075c5b","2017/9/6 23:20:00","zram: identify asynchronous IO's return value"
"1363d4662a0d","2017/9/6 23:19:57","zram: add free space management in backing device"
"013bf95a83ec","2017/9/6 23:19:54","zram: add interface to specif backing device"
"693dc1ce25b8","2017/9/6 23:19:50","zram: rename zram_decompress_page to __zram_bvec_read"
"97ec7c8bd5d0","2017/9/6 23:19:47","zram: inline zram_compress"
"4ebbe7f7fc99","2017/9/6 23:19:44","zram: clean up duplicated codes in __zram_bvec_write"
"f357e345eef7","2017/8/10 22:24:29","zram: rework copy of compressor name in comp_algorithm_store()"
"d62e26b3ffd2","2017/7/1 3:55:08","block: pass in queue to inflight accounting"
"bc1bb362334e","2017/7/10 22:50:15","zram: constify attribute_group structures."
"51f9f82c855d","2017/7/6 22:37:12","zram: count same page write as page_stored"
"f40609d1591f","2017/6/13 7:12:46","zram: convert remaining CLASS_ATTR() to CLASS_ATTR_RO()"
"27104a53d02e","2017/6/8 8:12:39","zram: use class_groups instead of class_attrs"
"f0fe99846566","2017/5/3 21:55:56","zram: reduce load operation in page_same_filled"
"302128dce142","2017/5/3 21:55:53","zram: use zram_free_page instead of open-coded"
"643ae61d0f41","2017/5/3 21:55:50","zram: introduce zram data accessor"
"beb6602cf87a","2017/5/3 21:55:47","zram: remove zram_meta structure"
"86c49814d449","2017/5/3 21:55:44","zram: use zram_slot_lock instead of raw bit_spin_lock op"
"1f7319c74275","2017/5/3 21:55:41","zram: partial IO refactoring"
"e86942c7b6c1","2017/5/3 21:55:38","zram: handle multiple pages attached bio's bvec"
"694752922b12","2017/5/1 17:39:57","Merge branch 'for-4.12/block' of git://git.kernel.dk/linux-block"
"d72e9a7a93e4","2017/4/13 21:56:37","zram: do not use copy_page with non-page aligned address"
"4ca82dabc9fb","2017/4/13 21:56:35","zram: fix operator precedence to get offset"
"31edeacd77b3","2017/4/5 17:21:14","zram: implement REQ_OP_WRITE_ZEROES"
